chr	start	stop	centre
chr1	122127742	122128490	122128116.0
chr11	32116828	32117249	32117038.5
chr16	76322832	76324465	76323648.5
chr14	122277263	122278437	122277850.0
chr2	152222600	152225042	152223821.0
chr10	80839167	80842167	80840667.0
chr4	59373633	59373918	59373775.5
chr3	94710336	94710830	94710583.0
chr9	22111684	22112398	22112041.0
chr6	149127492	149128027	149127759.5
chr9	35228488	35229635	35229061.5
chr6	124989110	124990292	124989701.0
chr6	47787543	47787988	47787765.5
chr8	73033450	73035060	73034255.0
chr2	91194878	91195671	91195274.5
chr8	24140860	24142342	24141601.0
chr13	8958692	8959478	8959085.0
chr11	60624531	60625031	60624781.0
chr11	121120497	121122427	121121462.0
chr18	50183482	50184313	50183897.5
chr6	38482805	38485670	38484237.5
chr11	120504636	120505445	120505040.5
chr8	3803075	3803464	3803269.5
chr2	102726246	102726933	102726589.5
chr3	67275685	67276065	67275875.0
chr11	99068230	99068650	99068440.0
chr11	4123206	4124127	4123666.5
chr19	5038115	5039551	5038833.0
chr5	129569208	129569529	129569368.5
chr4	128911694	128912227	128911960.5
chr15	36537298	36539907	36538602.5
chr2	174275813	174276317	174276065.0
chr3	151773928	151774771	151774349.5
chr10	79849966	79850981	79850473.5
chr9	45714052	45715575	45714813.5
chr3	137815830	137816231	137816030.5
chr4	86280526	86281257	86280891.5
chr19	11195498	11196018	11195758.0
chr6	17698673	17699766	17699219.5
chr6	39760393	39761305	39760849.0
chr7	152469399	152470178	152469788.5
chr6	71443514	71445064	71444289.0
chr19	54189316	54189719	54189517.5
chr9	124017937	124018241	124018089.0
chr13	9010927	9011563	9011245.0
chrX	148741461	148742952	148742206.5
chr9	78363881	78364344	78364112.5
chr1	39811080	39811679	39811379.5
chr4	73897104	73899174	73898139.0
chr8	81344330	81345364	81344847.0
chr1	183475581	183475921	183475751.0
chr15	11924660	11926183	11925421.5
chr5	109080819	109081279	109081049.0
chr4	152094499	152095348	152094923.5
chr1	164029247	164029747	164029497.0
chr9	66822475	66823542	66823008.5
chr9	51573210	51573601	51573405.5
chr14	73721413	73723255	73722334.0
chr18	5161942	5162607	5162274.5
chr12	56225101	56226195	56225648.0
chr8	119787233	119787795	119787514.0
chr3	146008161	146008583	146008372.0
chr3	89197147	89199280	89198213.5
chr11	96650165	96651044	96650604.5
chr7	31398581	31398865	31398723.0
chr14	103748493	103749230	103748861.5
chr3	88287488	88287954	88287721.0
chr12	114066723	114068499	114067611.0
chr16	6095652	6096714	6096183.0
chr15	79921201	79922176	79921688.5
chr9	45636094	45637583	45636838.5
chr10	75206744	75207191	75206967.5
chr18	11925280	11925819	11925549.5
chr4	102985939	102987128	102986533.5
chr4	147818163	147819258	147818710.5
chr16	11297792	11298169	11297980.5
chr11	120902500	120902860	120902680.0
chr1	120394886	120395324	120395105.0
chr11	101050912	101051815	101051363.5
chr4	25393119	25393556	25393337.5
chr4	11827131	11827561	11827346.0
chr12	56255493	56256792	56256142.5
chr19	10089073	10091133	10090103.0
chr4	117851464	117853244	117852354.0
chr18	3270090	3271371	3270730.5
chr16	8747875	8748654	8748264.5
chr15	100975730	100976707	100976218.5
chr3	138404668	138406376	138405522.0
chr10	79131418	79132870	79132144.0
chr9	107470705	107472159	107471432.0
chr15	76062529	76063788	76063158.5
chr2	26153868	26154241	26154054.5
chrX	70697327	70697622	70697474.5
chr15	80628087	80629271	80628679.0
chr10	38890926	38891310	38891118.0
chr15	58426145	58427312	58426728.5
chrX	121306952	121308982	121307967.0
chr5	42098217	42100129	42099173.0
chr2	120862110	120863256	120862683.0
chr8	100926731	100927177	100926954.0
chr7	97223132	97223570	97223351.0
chr10	117144091	117144501	117144296.0
chr5	125002416	125003324	125002870.0
chr11	62633618	62634030	62633824.0
chr14	47441156	47442384	47441770.0
chr2	27887209	27888541	27887875.0
chr2	131087691	131089425	131088558.0
chr6	134609304	134609734	134609519.0
chr4	125779403	125782380	125780891.5
chr19	46979745	46980274	46980009.5
chr3	88298631	88299820	88299225.5
chr5	124460023	124460497	124460260.0
chr1	73093235	73094054	73093644.5
chr10	74764327	74765133	74764730.0
chr1	43167460	43167769	43167614.5
chr11	44325351	44326134	44325742.5
chr9	30288101	30288437	30288269.0
chr2	130249334	130251204	130250269.0
chr10	18564462	18565223	18564842.5
chr8	23543385	23544190	23543787.5
chr16	32682339	32682655	32682497.0
chr2	26765360	26767437	26766398.5
chr14	119042088	119042611	119042349.5
chr2	130855021	130855446	130855233.5
chr7	107641099	107643086	107642092.5
chr1	64167070	64169316	64168193.0
chr5	23953203	23954118	23953660.5
chr19	42054850	42057030	42055940.0
chr8	74060879	74061836	74061357.5
chr16	4268038	4268355	4268196.5
chr2	121096575	121097595	121097085.0
chr8	127657526	127658151	127657838.5
chr3	84254582	84254993	84254787.5
chr1	182078001	182079123	182078562.0
chr3	104473958	104474763	104474360.5
chr12	78338722	78341081	78339901.5
chr8	113585722	113586898	113586310.0
chr17	29633302	29634541	29633921.5
chr9	41015437	41016324	41015880.5
chr10	98087267	98088142	98087704.5
chr2	167585434	167585950	167585692.0
chrX	54008814	54009203	54009008.5
chr9	120844023	120844918	120844470.5
chr16	33996283	33996580	33996431.5
chr3	146427659	146428498	146428078.5
chr4	153385426	153386842	153386134.0
chr6	34421234	34422118	34421676.0
chr7	52618099	52618505	52618302.0
chr5	141120610	141121253	141120931.5
chr9	105296968	105298387	105297677.5
chr1	92177577	92178354	92177965.5
chr4	116659368	116659925	116659646.5
chr16	10770669	10771303	10770986.0
chr8	110101410	110101983	110101696.5
chr11	58660220	58661130	58660675.0
chr13	45126155	45126632	45126393.5
chr3	157380439	157380891	157380665.0
chr5	144272917	144273607	144273262.0
chr5	125945498	125946568	125946033.0
chr9	79914305	79916234	79915269.5
chr3	14869590	14870342	14869966.0
chr15	96485213	96485516	96485364.5
chr7	148358082	148359053	148358567.5
chr1	179912937	179915014	179913975.5
chr6	122805875	122806497	122806186.0
chr4	63029626	63029963	63029794.5
chr3	88430952	88431413	88431182.5
chr17	33129804	33130484	33130144.0
chr10	127167533	127168157	127167845.0
chr9	24088604	24089349	24088976.5
chr4	88775197	88775792	88775494.5
chr9	35349131	35349422	35349276.5
chr2	155814539	155815446	155814992.5
chr11	98043524	98043788	98043656.0
chr2	71710609	71712889	71711749.0
chr6	90557983	90558583	90558283.0
chr17	53709650	53710221	53709935.5
chrX	50621867	50623507	50622687.0
chr15	68193443	68195445	68194444.0
chr5	23888720	23889906	23889313.0
chr3	127592253	127592991	127592622.0
chr2	30798119	30798605	30798362.0
chr9	20263804	20264766	20264285.0
chr7	5032758	5033302	5033030.0
chr4	3586873	3587535	3587204.0
chr14	56640030	56640648	56640339.0
chr13	60774051	60774690	60774370.5
chr13	14704848	14706182	14705515.0
chrX	129270080	129270604	129270342.0
chr2	34617748	34618026	34617887.0
chr2	35359436	35360288	35359862.0
chr14	65767976	65769393	65768684.5
chr2	180190677	180191128	180190902.5
chr2	127072776	127074793	127073784.5
chr15	85464554	85466173	85465363.5
chr17	5934812	5935287	5935049.5
chr1	173176752	173178014	173177383.0
chr11	94908338	94908636	94908487.0
chr4	118899266	118900150	118899708.0
chr7	53894745	53895650	53895197.5
chr5	73746621	73747025	73746823.0
chr13	49439809	49440330	49440069.5
chr4	124526878	124528942	124527910.0
chr8	121936594	121936987	121936790.5
chr4	131604534	131605528	131605031.0
chr8	80068281	80068762	80068521.5
chr19	29887027	29887923	29887475.0
chr2	25079118	25081195	25080156.5
chr1	168339611	168340261	168339936.0
chr4	125858359	125858766	125858562.5
chr1	162835731	162838062	162836896.5
chr19	8809877	8810813	8810345.0
chr13	18084561	18085468	18085014.5
chr1	162721809	162723744	162722776.5
chr5	143697953	143698479	143698216.0
