chr	start	stop	centre
chr6	97189480	97189615	97189547.5
chr18	41828640	41828861	41828750.5
chr18	55152130	55152434	55152282.0
chr7	48583542	48583754	48583648.0
chr18	42588989	42589147	42589068.0
chr11	50090654	50090783	50090718.5
chr7	99817038	99819296	99818167.0
chr11	91191976	91192582	91192279.0
chr15	59973300	59973547	59973423.5
chr7	70943449	70943658	70943553.5
chr9	109773545	109773785	109773665.0
chr17	90670899	90671194	90671046.5
chr8	122120318	122120532	122120425.0
chr14	103841867	103841987	103841927.0
chr8	114210675	114211126	114210900.5
chr14	54036734	54036861	54036797.5
chr2	162748033	162748178	162748105.5
chr8	80040713	80041091	80040902.0
chr8	49810824	49811075	49810949.5
chr8	33432584	33432756	33432670.0
chrX	8672062	8672702	8672382.0
chr9	84175110	84175587	84175348.5
chr9	55061102	55061602	55061352.0
chr18	84851834	84852409	84852121.5
chr3	4893156	4893473	4893314.5
chr9	56318193	56318468	56318330.5
chr1	135207929	135208164	135208046.5
chr7	25713466	25713784	25713625.0
chr19	10175778	10176751	10176264.5
chr7	19967101	19967491	19967296.0
chr7	86617790	86617987	86617888.5
chr5	20430534	20430655	20430594.5
chr5	139333266	139333439	139333352.5
chr11	112660188	112660481	112660334.5
chr14	76879682	76879854	76879768.0
chr16	65629509	65629752	65629630.5
chr10	95537283	95537343	95537313.0
chr1	162346287	162346473	162346380.0
chr11	22502003	22502429	22502216.0
chr19	5433410	5433784	5433597.0
chr2	161022544	161022789	161022666.5
chr1	60820143	60820276	60820209.5
chr4	121817984	121818237	121818110.5
chr16	31460095	31460479	31460287.0
chr1	58169721	58170095	58169908.0
chr2	101637531	101638266	101637898.5
chr16	59517272	59517498	59517385.0
chr7	15209024	15209267	15209145.5
chr3	145527810	145528129	145527969.5
chr9	98855225	98857871	98856548.0
chr19	53141444	53141881	53141662.5
chr8	49307642	49308013	49307827.5
chr15	51649554	51649767	51649660.5
chr1	172024203	172024308	172024255.5
chr9	3523813	3524338	3524075.5
chr8	19734464	19734654	19734559.0
chr9	109801939	109802248	109802093.5
chr17	16995097	16995212	16995154.5
chr13	99881942	99882435	99882188.5
chr7	114923254	114923466	114923360.0
chr2	20468873	20469286	20469079.5
chr7	88715793	88716933	88716363.0
chr8	75079740	75080093	75079916.5
chr1	179644322	179644727	179644524.5
chr1	21266330	21266536	21266433.0
chr11	18846091	18846327	18846209.0
chrX	154109848	154110045	154109946.5
chr6	113625303	113625627	113625465.0
chr11	108466627	108467035	108466831.0
chr14	122336903	122337086	122336994.5
chr11	70639838	70639947	70639892.5
chr14	98830936	98831581	98831258.5
chr11	89407592	89407818	89407705.0
chr17	28995338	28995500	28995419.0
chr1	101487311	101487711	101487511.0
chr1	108876207	108876502	108876354.5
chr14	100489826	100490037	100489931.5
chrX	23503114	23503425	23503269.5
chr18	24686043	24686255	24686149.0
chr1	6438214	6438569	6438391.5
chr1	134337624	134337732	134337678.0
chr15	25466375	25466541	25466458.0
chr16	69943863	69944218	69944040.5
chr9	108626150	108626445	108626297.5
chr11	74441123	74441262	74441192.5
chr5	145874928	145876038	145875483.0
chr3	135813076	135813162	135813119.0
chr16	32215315	32215473	32215394.0
chr16	35442073	35442425	35442249.0
chr2	148984006	148984485	148984245.5
chr1	90854012	90854446	90854229.0
chr2	119845059	119845159	119845109.0
chr9	20006557	20007117	20006837.0
chr1	173176966	173177637	173177301.5
chr16	35540389	35540670	35540529.5
chr10	108876255	108876871	108876563.0
chr14	90207981	90208174	90208077.5
chr1	31231386	31231585	31231485.5
chr2	100999350	100999465	100999407.5
chrX	120114579	120114997	120114788.0
chrX	162950522	162950665	162950593.5
chr11	83258560	83258877	83258718.5
chr17	56890714	56891360	56891037.0
chr6	128013612	128013816	128013714.0
chr16	35869109	35869668	35869388.5
chr8	125484839	125485197	125485018.0
chr2	17783553	17783709	17783631.0
chr18	36647152	36647293	36647222.5
chr1	106800496	106800745	106800620.5
chr10	36267266	36268172	36267719.0
chr8	9935988	9936212	9936100.0
chr3	3127267	3127373	3127320.0
chr7	52419158	52419384	52419271.0
chr17	80017766	80017912	80017839.0
chr3	92802686	92802932	92802809.0
chr2	140097653	140097817	140097735.0
chr11	107989972	107990184	107990078.0
chr15	71386025	71386166	71386095.5
chr5	110298509	110298675	110298592.0
chr2	90088988	90089390	90089189.0
chr2	169744755	169745073	169744914.0
chr11	98522015	98522151	98522083.0
chr12	80107673	80108601	80108137.0
chr3	105746863	105747145	105747004.0
chr1	162139815	162140347	162140081.0
chr2	122036411	122036543	122036477.0
chr1	72282850	72284016	72283433.0
chr3	130561197	130561337	130561267.0
chr14	22278130	22278289	22278209.5
chr8	128999904	129000392	129000148.0
chr1	88378159	88378327	88378243.0
chr1	62752842	62753865	62753353.5
chr15	59223524	59223849	59223686.5
chr15	62289417	62289778	62289597.5
chr10	4181768	4182250	4182009.0
chr3	89757472	89757639	89757555.5
chr16	4540414	4540582	4540498.0
chr14	9148983	9149251	9149117.0
chr13	16192209	16192807	16192508.0
chr16	87285218	87285331	87285274.5
chr3	135478826	135478967	135478896.5
chr16	42305816	42306760	42306288.0
chr5	77778981	77779656	77779318.5
chr8	74261430	74261551	74261490.5
chr19	10789263	10789468	10789365.5
chr1	109450769	109450999	109450884.0
chr2	14598582	14598809	14598695.5
chr18	80241750	80242531	80242140.5
chr19	18762136	18762295	18762215.5
chr8	107799372	107799600	107799486.0
chr8	35795670	35796140	35795905.0
chr19	53816482	53816807	53816644.5
chr15	76437715	76438237	76437976.0
chr6	58536243	58536447	58536345.0
chr18	19989513	19989716	19989614.5
chr13	20207969	20208273	20208121.0
chrX	157022279	157022764	157022521.5
chr14	78683815	78683937	78683876.0
chr1	171458904	171459087	171458995.5
chr5	145555662	145555864	145555763.0
chr9	69608198	69608648	69608423.0
chr9	78556176	78556389	78556282.5
chr5	133213792	133214368	133214080.0
chr16	91885396	91886208	91885802.0
chr14	96150315	96150687	96150501.0
chr11	20556827	20557101	20556964.0
chr18	46386396	46387201	46386798.5
chr11	121312977	121313819	121313398.0
chr8	71938911	71939350	71939130.5
chr6	141532579	141533207	141532893.0
