chr	start	stop	centre	dist
chr1	3639055	3639440	3639247.5	504830.0
chr1	3943654	3944022	3943838.0	809420.5
chr1	3972133	3972406	3972269.5	-825794.0
chr1	4322645	4322849	4322747.0	-475316.5
chr1	4387047	4387203	4387125.0	-410938.5
chr1	4406865	4407104	4406984.5	-391079.0
chr1	4647097	4647271	4647184.0	-150879.5
chr1	4770215	4770451	4770333.0	-27730.5
chr1	4792585	4793041	4792813.0	-5250.5
chr1	4962385	4962852	4962618.5	-110738.0
chr1	5060370	5060615	5060492.5	-12864.0
chr1	5124843	5125163	5125003.0	51646.5
chr1	5148764	5149132	5148948.0	75591.5
chr1	5218014	5218373	5218193.5	144837.0
chr1	5222891	5223375	5223133.0	149776.5
chr1	6005732	6006080	6005906.0	932549.5
chr1	6049181	6049491	6049336.0	975979.5
chr1	6107641	6108018	6107829.5	-971038.0
chr1	6262406	6262613	6262509.5	-816358.0
chr1	6447977	6448509	6448243.0	-630624.5
chr1	6719339	6719643	6719491.0	-359376.5
chr1	6860303	6860804	6860553.5	-218314.0
chr1	6888318	6888682	6888500.0	-190367.5
chr1	7078465	7079415	7078940.0	72.5
chr1	7116012	7116466	7116239.0	37371.5
chr1	7191785	7192032	7191908.5	113041.0
chr1	7302500	7302882	7302691.0	223823.5
chr1	7303544	7303923	7303733.5	224866.0
chr1	7309426	7309881	7309653.5	230786.0
chr1	7492445	7492924	7492684.5	413817.0
chr1	7767291	7767697	7767494.0	688626.5
chr1	8087069	8087533	8087301.0	1008433.5
chr1	8668911	8669104	8669007.5	-1021486.0
chr1	8926077	8926447	8926262.0	-764231.5
chr1	8930882	8931213	8931047.5	-759446.0
chr1	9433047	9433374	9433210.5	-257283.0
chr1	9531379	9531689	9531534.0	-158959.5
chr1	9737879	9738866	9738372.5	525.5
chr1	9762924	9763106	9763015.0	25168.0
chr1	9943070	9943342	9943206.0	205359.0
chr1	9945097	9945421	9945259.0	207412.0
chr1	10079691	10079935	10079813.0	341966.0
chr1	10161150	10161609	10161379.5	423532.5
chr1	10388034	10388246	10388140.0	650293.0
chr1	10640767	10641082	10640924.5	903077.5
chr1	11055341	11055654	11055497.5	1317650.5
chr1	11087433	11087755	11087594.0	1349747.0
chr1	11267843	11268635	11268239.0	1530392.0
chr1	11391061	11391648	11391354.5	1653507.5
chr1	11457129	11457535	11457332.0	1719485.0
chr1	11738496	11738923	11738709.5	-1772518.5
chr1	12015881	12016367	12016124.0	-1495104.0
chr1	12681897	12682701	12682299.0	-828929.0
chr1	12944312	12944568	12944440.0	-566788.0
chr1	13107890	13108101	13107995.5	-403232.5
chr1	13696482	13696693	13696587.5	46156.0
chr1	14215505	14215929	14215717.0	565285.5
chr1	14560901	14561072	14560986.5	910555.0
chr1	14678197	14678492	14678344.5	1027913.0
chr1	16788493	16788696	16788594.5	110058.5
chr1	17240576	17241372	17240974.0	562438.0
chr1	17348410	17348738	17348574.0	670038.0
chr1	17968235	17968479	17968357.0	1289821.0
chr1	17970793	17970995	17970894.0	1292358.0
chr1	18277482	18277808	18277645.0	1599109.0
chr1	18279050	18279239	18279144.5	1600608.5
chr1	18314782	18314969	18314875.5	1636339.5
chr1	18783678	18784024	18783851.0	-2026403.0
chr1	18821136	18821491	18821313.5	-1988940.5
chr1	19046504	19046687	19046595.5	-1763658.5
chr1	19078312	19078487	19078399.5	-1731854.5
chr1	19087010	19087253	19087131.5	-1723122.5
chr1	19099840	19100054	19099947.0	-1710307.0
chr1	19169196	19169390	19169293.0	-1640961.0
chr1	19280302	19280493	19280397.5	-1529856.5
chr1	20301667	20301856	20301761.5	-508492.5
chr1	20534680	20534979	20534829.5	-275424.5
chr1	20544571	20544777	20544674.0	-265580.0
chr1	20809974	20810719	20810346.5	92.5
chr1	20898664	20899075	20898869.5	-42813.0
chr1	20923624	20923829	20923726.5	-17956.0
chr1	20929197	20929414	20929305.5	-12377.0
chr1	21203674	21203907	21203790.5	262108.0
chr1	21208535	21209001	21208768.0	267085.5
chr1	21221820	21222151	21221985.5	280303.0
chr1	21266330	21266536	21266433.0	324750.5
chr1	21401356	21401599	21401477.5	459795.0
chr1	21707021	21707329	21707175.0	765492.5
chr1	22095676	22095902	22095789.0	1154106.5
chr1	22259142	22259352	22259247.0	-1083518.5
chr1	22283979	22284423	22284201.0	-1058564.5
chr1	22473456	22474163	22473809.5	-868956.0
chr1	22494238	22494420	22494329.0	-848436.5
chr1	22502982	22503260	22503121.0	-839644.5
chr1	23068823	23069173	23068998.0	-273767.5
chr1	23121770	23121937	23121853.5	-220912.0
chr1	23712427	23712655	23712541.0	-194065.0
chr1	23799672	23799937	23799804.5	-106801.5
chr1	24049833	24050189	24050011.0	143405.0
chr1	24178430	24178587	24178508.5	271902.5
chr1	24381849	24382025	24381937.0	-303686.0
chr1	24756236	24756534	24756385.0	70762.0
chr1	24797831	24798090	24797960.5	112337.5
chr1	24833396	24833760	24833578.0	147955.0
chr1	24958219	24958404	24958311.5	272688.5
chr1	24995912	24996246	24996079.0	310456.0
chr1	25366930	25367389	25367159.5	681536.5
chr1	25421128	25421325	25421226.5	735603.5
chr1	25567242	25567468	25567355.0	881732.0
chr1	25753681	25753872	25753776.5	1068153.5
chr1	25941985	25942173	25942079.0	1256456.0
chr1	25944938	25945295	25945116.5	1259493.5
chr1	28679659	28680002	28679830.5	3994207.5
chr1	29903570	29903824	29903697.0	-3684556.5
chr1	30316506	30316683	30316594.5	-3271659.0
chr1	30757334	30757534	30757434.0	-2830819.5
chr1	30797768	30797986	30797877.0	-2790376.5
chr1	30924541	30925031	30924786.0	-2663467.5
chr1	31077377	31077593	31077485.0	-2510768.5
chr1	31210921	31211100	31211010.5	-2377243.0
chr1	31290249	31290921	31290585.0	-2297668.5
chr1	31307026	31307209	31307117.5	-2281136.0
chr1	31735399	31736038	31735718.5	-1852535.0
chr1	31988959	31989235	31989097.0	-1599156.5
chr1	32052804	32052968	32052886.0	-1535367.5
chr1	32757093	32757275	32757184.0	-831069.5
chr1	32893313	32893516	32893414.5	-694839.0
chr1	33021933	33022128	33022030.5	-566223.0
chr1	33333903	33334168	33334035.5	-254218.0
chr1	33551720	33551944	33551832.0	-36421.5
chr1	33622670	33622941	33622805.5	-8651.0
chr1	33672442	33672683	33672562.5	41106.0
chr1	33678658	33679250	33678954.0	47497.5
chr1	33771708	33772010	33771859.0	140402.5
chr1	34000784	34001149	34000966.5	369510.0
chr1	34118065	34118266	34118165.5	-378355.5
chr1	34184604	34184931	34184767.5	-311753.5
chr1	34212967	34213241	34213104.0	-283417.0
chr1	34275255	34275490	34275372.5	-221148.5
chr1	34293125	34293577	34293351.0	-203170.0
chr1	34924108	34924386	34924247.0	17395.0
chr1	35896324	35896585	35896454.5	-215027.5
chr1	36001218	36001610	36001414.0	-110068.0
chr1	36206367	36206538	36206452.5	14845.0
chr1	36308361	36308661	36308511.0	-1397.0
chr1	36371815	36372179	36371997.0	-53747.5
chr1	36501979	36502342	36502160.5	76416.0
chr1	36766683	36767086	36766884.5	162871.5
chr1	36901898	36902257	36902077.5	298064.5
