chr	start	stop	centre
chr5	142923955	142924423	142924189.0
chr3	75759687	75761454	75760570.5
chr9	110379373	110379778	110379575.5
chr3	89576498	89577655	89577076.5
chr9	113839562	113840404	113839983.0
chr7	27951192	27952337	27951764.5
chr8	72676371	72676774	72676572.5
chr7	107756965	107757369	107757167.0
chr7	107731524	107731733	107731628.5
chr9	123168623	123170223	123169423.0
chr17	41071319	41072089	41071704.0
chr15	25913651	25915132	25914391.5
chr7	39056293	39056613	39056453.0
chr1	13579379	13580300	13579839.5
chr11	72990205	72991436	72990820.5
chr11	57458317	57459264	57458790.5
chr8	3392820	3393305	3393062.5
chr10	116813697	116814278	116813987.5
chr3	96205529	96206437	96205983.0
chr19	32246831	32247331	32247081.0
chr17	88463384	88463718	88463551.0
chr6	146583656	146583830	146583743.0
chr5	147062334	147062523	147062428.5
chr9	106183236	106183926	106183581.0
chr17	15852304	15852499	15852401.5
chr18	61885633	61886352	61885992.5
chr7	138553147	138554447	138553797.0
chr7	28120967	28121224	28121095.5
chr18	7626478	7627273	7626875.5
chr11	88017263	88017429	88017346.0
chr16	13256055	13256774	13256414.5
chr4	141108302	141108683	141108492.5
chr17	88071330	88072423	88071876.5
chr10	126342669	126343181	126342925.0
chr10	121005688	121006622	121006155.0
chr2	31988109	31988542	31988325.5
chr19	5366190	5367097	5366643.5
chr6	8158868	8159842	8159355.0
chr18	40467641	40468063	40467852.0
chr7	108496225	108496734	108496479.5
chr6	85911877	85912098	85911987.5
chr10	127759231	127760183	127759707.0
chr1	192886680	192887200	192886940.0
chr9	107444138	107444613	107444375.5
chr17	45700666	45701972	45701319.0
chr1	39534862	39535977	39535419.5
chr4	83131524	83132921	83132222.5
chr2	38499373	38499648	38499510.5
chr8	13287086	13288485	13287785.5
chr3	53667404	53667848	53667626.0
chr16	52031034	52032496	52031765.0
chr3	104504876	104505220	104505048.0
chr10	42940918	42941881	42941399.5
chr4	9697707	9698304	9698005.5
chr3	129763020	129764034	129763527.0
chr1	137625590	137625898	137625744.0
chr7	144602021	144603094	144602557.5
chr10	80052970	80053665	80053317.5
chr7	6106629	6106837	6106733.0
chr6	100236458	100238945	100237701.5
chr5	29704149	29705539	29704844.0
chr2	84490663	84491097	84490880.0
chr3	89323832	89324176	89324004.0
chr4	118992977	118993328	118993152.5
chr18	73862581	73864056	73863318.5
chr5	38698844	38699018	38698931.0
chr14	122459987	122460205	122460096.0
chr2	78709062	78709808	78709435.0
chr11	3286881	3287409	3287145.0
chr11	48604071	48604236	48604153.5
chr14	87540140	87541929	87541034.5
chr9	56842501	56843019	56842760.0
chr3	105761848	105763061	105762454.5
chr2	139995689	139997028	139996358.5
chr2	167590606	167590941	167590773.5
chr7	75215593	75215760	75215676.5
chr17	32421252	32421884	32421568.0
chrX	45587633	45587981	45587807.0
chr17	46817344	46818392	46817868.0
chr2	59963606	59963855	59963730.5
chr12	112083098	112083923	112083510.5
chr10	95540109	95540578	95540343.5
chr9	7176540	7177233	7176886.5
chr2	28496638	28496959	28496798.5
chr18	80905122	80905430	80905276.0
chr2	127033766	127034308	127034037.0
chr2	119980018	119980695	119980356.5
chr4	141430450	141431483	141430966.5
chr15	81702628	81703012	81702820.0
chr10	89148190	89149452	89148821.0
chr9	121186251	121186439	121186345.0
chr2	91803224	91804077	91803650.5
chr8	93351876	93353239	93352557.5
chr10	77647764	77648110	77647937.0
chr8	3621180	3621677	3621428.5
chrX	47943907	47944221	47944064.0
chr8	18898717	18899553	18899135.0
chr19	61302860	61303758	61303309.0
chr8	86590102	86591568	86590835.0
chr4	26272936	26274261	26273598.5
chr10	126749409	126749758	126749583.5
chr2	179805149	179805604	179805376.5
chr11	40546620	40547853	40547236.5
chr13	14711077	14711353	14711215.0
chr7	30768633	30769372	30769002.5
chr17	6317324	6317741	6317532.5
chr14	68552192	68552402	68552297.0
chr6	48035878	48036840	48036359.0
chr11	29925653	29926502	29926077.5
chr9	48288115	48288928	48288521.5
chr4	8574207	8574899	8574553.0
chr3	157196732	157198251	157197491.5
chr19	38910868	38912176	38911522.0
chr11	46244747	46244988	46244867.5
chr3	95558649	95559073	95558861.0
chr9	65756580	65757049	65756814.5
chr11	102109993	102110538	102110265.5
chr14	119105340	119105892	119105616.0
chr11	120588329	120588807	120588568.0
chr10	57167823	57168050	57167936.5
chr17	35810593	35810921	35810757.0
chr9	75395079	75395444	75395261.5
chr4	41670087	41670436	41670261.5
chr8	23586696	23587715	23587205.5
chr17	35118702	35119188	35118945.0
chr16	3895521	3895809	3895665.0
chr2	5872294	5873118	5872706.0
chr5	121995853	121996242	121996047.5
chr8	96643050	96643214	96643132.0
chr17	57150651	57151684	57151167.5
chr8	60131884	60132157	60132020.5
chr1	59176493	59177413	59176953.0
chr6	146803589	146804214	146803901.5
chr15	102235640	102237460	102236550.0
chr5	67817941	67819639	67818790.0
chr15	76540577	76541176	76540876.5
chr6	146583368	146583603	146583485.5
chr8	3536082	3536785	3536433.5
chr1	20809974	20810719	20810346.5
chrX	20487056	20487538	20487297.0
chr1	58643038	58643290	58643164.0
chrX	165757659	165758876	165758267.5
chr5	149771206	149771407	149771306.5
chrX	34666644	34667088	34666866.0
chr9	35018040	35019050	35018545.0
chr1	52901531	52902177	52901854.0
chr17	71900996	71901969	71901482.5
chr2	34609426	34609787	34609606.5
chr17	25152639	25153091	25152865.0
chr3	135353611	135355123	135354367.0
chr15	81229749	81230783	81230266.0
chr9	121280428	121281025	121280726.5
chr10	60938290	60938940	60938615.0
chrX	20264460	20266236	20265348.0
chr5	7276767	7277052	7276909.5
chr1	56838895	56839270	56839082.5
chr3	84385886	84386868	84386377.0
chr5	114830280	114830617	114830448.5
chr15	100445232	100446585	100445908.5
chr13	93300163	93301369	93300766.0
chr5	35447948	35448584	35448266.0
chr9	114597120	114597368	114597244.0
chr5	143026113	143027440	143026776.5
chrX	7673318	7674380	7673849.0
chr3	108393864	108395246	108394555.0
chr8	4165243	4165409	4165326.0
chr4	83170511	83171961	83171236.0
chr1	193813925	193814261	193814093.0
chr4	44025217	44025637	44025427.0
chr7	29123318	29124006	29123662.0
chr10	117578391	117579315	117578853.0
chr7	13562834	13564110	13563472.0
chr8	114166782	114167961	114167371.5
chr19	47928901	47930291	47929596.0
chr7	3569377	3569559	3569468.0
chr1	184271025	184271930	184271477.5
chr13	91604703	91604932	91604817.5
chr17	45800171	45800575	45800373.0
chr2	25463291	25463817	25463554.0
chr8	104548499	104548647	104548573.0
chr6	73198173	73198973	73198573.0
chr7	51845866	51846609	51846237.5
chr2	151931054	151931719	151931386.5
chr7	133618229	133619259	133618744.0
chr11	98219826	98220054	98219940.0
chr7	137977839	137978192	137978015.5
chr8	112741493	112742129	112741811.0
chr2	5300073	5300466	5300269.5
chr17	33947208	33947566	33947387.0
chr11	106905747	106905958	106905852.5
chr3	87826565	87826737	87826651.0
chr8	126474148	126474341	126474244.5
chr10	80499705	80500305	80500005.0
chr15	31531002	31531709	31531355.5
chr5	142920808	142921000	142920904.0
chr2	92885620	92886161	92885890.5
chr3	95428596	95429475	95429035.5
chr14	33015001	33015218	33015109.5
chr4	140616002	140617218	140616610.0
chr11	77326928	77327085	77327006.5
chr2	37286044	37287013	37286528.5
chr8	85856035	85856650	85856342.5
chr19	12670003	12671042	12670522.5
chr4	119211619	119213084	119212351.5
chr14	73108984	73110649	73109816.5
chr13	68720633	68721231	68720932.0
chr15	83341208	83341509	83341358.5
chr18	43637368	43637535	43637451.5
chrX	93151905	93152666	93152285.5
chr2	156546177	156547284	156546730.5
chrX	71268309	71269403	71268856.0
chr13	49777090	49777831	49777460.5
chr1	167564091	167565452	167564771.5
chr17	37406999	37408195	37407597.0
chr3	116364806	116365774	116365290.0
chr14	21612453	21612933	21612693.0
chr8	18845864	18847270	18846567.0
chr14	62950742	62951446	62951094.0
chr2	26244496	26245012	26244754.0
chr5	122821964	122822733	122822348.5
chr4	133742625	133743479	133743052.0
chr6	82771806	82771987	82771896.5
chr7	3221421	3222601	3222011.0
chr14	35315599	35316617	35316108.0
chrX	39386323	39386564	39386443.5
chr7	105851321	105852252	105851786.5
chr19	9028044	9028496	9028270.0
chr7	26180511	26181575	26181043.0
chr17	46782473	46782811	46782642.0
chr3	94721673	94722284	94721978.5
chr7	135883188	135884233	135883710.5
chr2	37558195	37559523	37558859.0
chr8	63966355	63967079	63966717.0
chr3	58252236	58252446	58252341.0
chr10	75299905	75300528	75300216.5
chr11	3863876	3864076	3863976.0
chr17	35089157	35089540	35089348.5
chr11	49715004	49715139	49715071.5
chr1	134373512	134373768	134373640.0
chr10	93497769	93499377	93498573.0
chr15	98507786	98508109	98507947.5
chr17	46633518	46633843	46633680.5
chr3	135085740	135087235	135086487.5
chr10	80630320	80630806	80630563.0
